topic,group,mean_js_llm,mean_f1_llm,mean_cramer_llm,mean_js_diff,mean_f1_diff,mean_cramer_diff,llm_js_lower,llm_js_upper,rf_js_lower,rf_js_upper,diff_js_lower,diff_js_upper,diff_sig_js,llm_f1_score_lower,llm_f1_score_upper,rf_f1_score_lower,rf_f1_score_upper,diff_f1_score_lower,diff_f1_score_upper,diff_sig_f1_score,llm_cramer_v_lower,llm_cramer_v_upper,rf_cramer_v_lower,rf_cramer_v_upper,diff_cramer_v_lower,diff_cramer_v_upper,diff_sig_cramer_v
refugee_allowing,demo,0.22403969106546104,0.4096204066627387,0.13885158376514295,0.06361183034800083,-0.07544272141112551,0.016468241145583384,0.20668078609715784,0.24216627632160095,0.2710853920929972,0.3020634417519542,0.0347000362206803,0.09074470274107369,True,0.39414232206813393,0.42509153032419034,0.46812387737065553,0.5022713013978171,-0.09620744165384161,-0.05177095400370019,True,0.11799542521158385,0.16003948545066007,0.10091547965241092,0.14511767317964208,-0.01033006677407681,0.042603386882997564,False
refugee_allowing,demo+attit,0.15426534018921995,0.5527026271555848,0.30170634908478844,0.03245844182702072,-0.008336471637217352,0.04150702377879205,0.13833541095989596,0.1700942562117689,0.1700353146684866,0.2030221403623751,0.003144938527713295,0.060951895753704945,True,0.5378417189677679,0.5674675201045857,0.5449563308746789,0.5759495564259328,-0.025366408819643717,0.009451848995271997,False,0.280978679535288,0.3211642010372927,0.2398392738556473,0.27892456287989753,0.02213549589181707,0.062059013728125424,True
refugee_allowing,demo+attit+moral,0.23842209363584665,0.5455842354338242,0.30559154669690675,-0.09933559643608432,-0.07303773266956545,-0.04435304095621125,0.22123753329879384,0.25477005990352597,0.1235062891570677,0.1549588746763634,-0.12678145005651434,-0.07123934965113003,True,0.5302193531928225,0.5613768353637122,0.602651603933166,0.6347931091290828,-0.09007647824236281,-0.05628493922773671,True,0.2849151332512702,0.3255724237059454,0.32878563513341225,0.3720281845964722,-0.06750497156438305,-0.022429967108637795,True
refugee_allowing,attit,0.11175719260006631,0.5650154914968284,0.27930088061101077,0.0424406178360411,0.011068586980292451,0.051620829987374287,0.09400680366500307,0.12951505459342583,0.13763992619041723,0.1690047921985718,0.014737696503467347,0.0701457229255287,True,0.5492644647788012,0.5804153346756223,0.5369610159607311,0.5708808013092526,-0.0037012547923063097,0.02709839146875345,False,0.258176209447551,0.300833898508007,0.20424650499506006,0.25050539247203973,0.030895587193271856,0.07222010558916854,True
refugee_allowing,attit+moral,0.2205264943676367,0.5513032794246581,0.29918333730260777,-0.09738693477573586,-0.07351129495700141,-0.050361346317664674,0.20333997169881737,0.23682239922446988,0.10822395729922885,0.13822267561459103,-0.12392019338311314,-0.06910997424733312,True,0.5338603163621445,0.5681708533308364,0.6095275327214259,0.6400013785831788,-0.09129191141757385,-0.05601233331872757,True,0.2780978806854848,0.31967050531067226,0.3264085477763114,0.37313216236292385,-0.07507937831876998,-0.026921833821980243,True
refugee_allowing,demo+moral,0.2856603022963916,0.5027760609549867,0.23972556065358908,-0.14604988337594624,-0.10804167246230363,-0.10011600133872656,0.2687507444233518,0.302176169375122,0.12502804610008553,0.15568155401313505,-0.17293968796123185,-0.11741228505638336,True,0.4858981073877671,0.519790588113291,0.5951736867240405,0.6263643938383368,-0.1254099520116916,-0.09112698448310437,True,0.21659276816763492,0.2624855549087059,0.31788995941238674,0.3629428188269258,-0.1243503804197336,-0.0761080106092537,True
refugee_allowing,moral,0.28334457243606515,0.4895889669169607,0.2213196506086848,-0.17607144986328777,-0.11248508382422787,-0.09469111786053301,0.26792114753834373,0.299831137446138,0.09202047180784072,0.12249998164746309,-0.203338633915596,-0.14898282872776375,True,0.4728565091075606,0.5062771016473099,0.5864665042674669,0.6180831025970369,-0.12915769699416102,-0.09460511723256178,True,0.1996604612806613,0.2413607241024273,0.2955456976959727,0.3381523400662635,-0.12029933315317774,-0.06899099746921344,True
health_insurance_policy,demo,0.4901629455853354,0.41725877958597707,0.05215232063612035,-0.1723028200365341,-0.06883430766205223,-0.04270569270521401,0.47732773236889203,0.5020232926226976,0.3026507459510927,0.33282708810474637,-0.183925002752623,-0.1600618696901842,True,0.4003201524321013,0.43668688959253776,0.46783269683144996,0.5048578171353066,-0.0815778328573764,-0.05657024121430229,True,0.03235755161616394,0.07208407689860125,0.07246034984929373,0.1189980877430172,-0.07388484286842854,-0.013512956561069718,True
health_insurance_policy,demo+attit,0.06365196520035893,0.5930179659721585,0.3337406074596063,0.1524023345671456,-0.014355526332456008,0.020859037751726796,0.046167280768478376,0.08332186240316147,0.20138274676634696,0.231430598706485,0.1248736153926405,0.1800309093223196,True,0.5764572106624923,0.6101140878016846,0.5901584446084011,0.6239999671160483,-0.03054312382179559,0.001571589829127301,False,0.3141751149009125,0.35517405773374133,0.29154111195103427,0.3350717151096954,0.004775345092909548,0.03735998945989306,True
health_insurance_policy,demo+attit+moral,0.07697396324130426,0.6203135479152998,0.3360283469141297,0.15376791894681652,0.004075750297353526,0.002700375467324348,0.06042086606956725,0.09514431079776044,0.21625917548656265,0.24542482476738495,0.1374284749333143,0.17121216861116104,True,0.6039816144201663,0.6354478002066338,0.6000640781302756,0.6319244048546698,-0.00882259022271981,0.017807554861138376,False,0.31677830206061175,0.3560095052202228,0.3073668326056222,0.38079932610900546,-0.04144518446595009,0.025284971718762296,False
health_insurance_policy,attit,0.07213159136653234,0.590536660391436,0.3284548173162105,0.1301331260831094,-0.01495597509932841,0.014409843877182693,0.05731418698111992,0.08597780252485128,0.18693233814180746,0.2181133699635742,0.10436479213457929,0.15704009172896996,True,0.5748781562569673,0.6065911402524351,0.5894835701833674,0.6220242407111024,-0.03003213239270528,0.0013899549783087627,False,0.3089168463399605,0.34903480148901994,0.29304307549492165,0.33411780554864806,-0.0034373899007746423,0.03262286501143382,False
health_insurance_policy,attit+moral,0.0896183943580183,0.6066115299741639,0.33889555941965493,0.12571582318596036,-0.009997683095151184,0.006402441806640372,0.07110552503677342,0.10671691681989412,0.19981230121918306,0.2300414096369276,0.1072493008471668,0.14387184552396023,True,0.5917316730547392,0.6215204449047548,0.6006051396489837,0.6328366468762325,-0.023758011906357044,0.003930387423987297,False,0.31984509139721795,0.35736101460813924,0.3124362724927084,0.3543392625877157,-0.011485406701287485,0.023263176156526105,False
