topic,group,mean_js_llm,mean_f1_llm,mean_cramer_llm,mean_js_diff,mean_f1_diff,mean_cramer_diff,llm_js_lower,llm_js_upper,rf_js_lower,rf_js_upper,diff_js_lower,diff_js_upper,diff_sig_js,llm_f1_score_lower,llm_f1_score_upper,rf_f1_score_lower,rf_f1_score_upper,diff_f1_score_lower,diff_f1_score_upper,diff_sig_f1_score,llm_cramer_v_lower,llm_cramer_v_upper,rf_cramer_v_lower,rf_cramer_v_upper,diff_cramer_v_lower,diff_cramer_v_upper,diff_sig_cramer_v
drug_addiction,demo,0.4050792367126725,0.5797276865204357,0.06966077440549609,-0.021213684829047327,0.0002666626503119217,0.029360303954969594,0.392565486652655,0.4174912405036336,0.37039331746441045,0.3972320193384327,-0.029677349306675885,-0.012821571178693165,True,0.5606800136070373,0.5985228815312785,0.5598792749901413,0.59795049428662,-0.004263737875635959,0.004565562613175681,False,0.04667058780421186,0.10526590997471852,0.020488844322999564,0.06926362719789668,-0.009004119073099748,0.07047736152648056,False
drug_addiction,demo+attit,0.06835829765673376,0.6040000028129636,0.11106641833540797,0.30835222579527927,0.02134859598296189,0.0657590847591019,0.05048513115514911,0.08692570387254157,0.36263661468905023,0.39045902109403846,0.28317258555337216,0.3326786494260687,True,0.5893933167587454,0.6190153036170288,0.5653477582909847,0.6019804923405513,0.005319538013233167,0.038194979867321996,True,0.08838756340535227,0.13422167993578912,0.02181254389977292,0.07255584606210692,0.030492956922446336,0.09753039417297481,True
drug_addiction,demo+attit+moral,0.15769222896936047,0.6197454939937945,0.133386765074346,0.1981516433306561,0.029249129019955845,0.06421086680559472,0.14573562492805486,0.16935240603098084,0.3407692212282564,0.3711444764930613,0.1851298553442473,0.21231606741855166,True,0.603596824512281,0.6367210171744504,0.5717124107144425,0.6102266961400863,0.014266461610869438,0.04398835211006244,True,0.09781476182427311,0.16777173808830112,0.03688916626523792,0.10441551519080843,0.016612231340257393,0.11051899385367119,True
drug_addiction,attit,0.14081040394282449,0.6048421779461661,0.11113112865212738,0.2044548408192995,0.017686270197021917,0.05396360562690363,0.12413856494806018,0.15672857720624742,0.3303728595239452,0.3605365557815431,0.1830157807506721,0.22669827936754336,True,0.587830659400047,0.6199742420271729,0.5689593371661942,0.604990378391995,0.00011899031154042067,0.03545918426214517,True,0.08576088327034176,0.13918227816352516,0.028842946073456912,0.09420995218574031,0.013171570334894012,0.09490349659125699,True
drug_addiction,attit+moral,0.11548731770728682,0.6032628099740048,0.12680817825595347,0.22385306988227743,0.009582461928110384,0.05857499031785329,0.09782921307846375,0.13523394933317215,0.32375950485952026,0.353761804207891,0.19813709353227868,0.24874591844392,True,0.5867302244169778,0.6189128995872417,0.575665556934949,0.6110412495799751,-0.007237037502746589,0.027284437565611518,False,0.10486215979836691,0.1493228501249339,0.03608158369094922,0.101912535144739,0.019329347308166926,0.09393029169858982,True
drug_addiction,demo+moral,0.20763540971234892,0.6333381472546243,0.15693264564310275,0.13987217801767782,0.04343885234804229,0.09634250153736654,0.19304504726494667,0.22244811498514144,0.3316127843859859,0.36202589564264337,0.12678537409794072,0.15294442369913927,True,0.6162103470089041,0.6503218760331515,0.571832402024142,0.6102363062655562,0.03080734638242653,0.05573617265329865,True,0.12273926483828486,0.19300282276656547,0.030613252746918673,0.09361365407023799,0.052468511486733496,0.13850918231987638,True
drug_addiction,moral,0.19235640498025194,0.6159805427917215,0.11143463418503949,0.10321811935454102,0.022754451785751396,0.05012064100106342,0.17505739837915438,0.21014079237534786,0.27960097136712986,0.311300606203798,0.08682622839049828,0.1187393563582538,True,0.5983543261024143,0.6329795306716061,0.5744328208490688,0.6109369103104478,0.009617265731517229,0.03545773351852278,True,0.08755279191285448,0.1355127573709073,0.030466071421740935,0.09776598604208725,0.011532527154897498,0.08828562113334387,True
climate_change,demo,0.34267199525467834,0.4703479069769265,0.07003499578911593,-0.08763812313442472,-0.05714126832643964,-0.10904399918736572,0.3273075091251543,0.3575360707206546,0.24157549688251514,0.2676735598917329,-0.10057823873788783,-0.07397467717992459,True,0.4524739889952952,0.48928561473922055,0.5092664891323905,0.5442693609066154,-0.07396693720689347,-0.040914883612017165,True,0.04151865570036485,0.10148288055160237,0.1481484281173951,0.21412617247113366,-0.1525567370912751,-0.06743063937468449,True
climate_change,demo+attit,0.08613294000875875,0.6926466610614576,0.42327885339409704,0.07738924564353793,0.0037603075781538165,0.011075845020955164,0.07040350878490895,0.10302119770825362,0.14872380863874313,0.17983252160843877,0.06204975173505344,0.09314945717651386,True,0.6780594434499371,0.7076523458276147,0.6725698265017752,0.7050021736109283,-0.009675993843422732,0.01599601492670103,False,0.4028642289602012,0.4440897995261144,0.3935321513867157,0.43189077062519127,-0.008861137726770447,0.02818390347025173,False
climate_change,demo+attit+moral,0.10845925942442752,0.6887093701292356,0.4252348978838121,0.04222809807161691,-0.027185727227189115,-0.0332748145773173,0.09262918772423963,0.12443419973744808,0.1343225446422875,0.16578540050008522,0.025071775133168255,0.059103361175599216,True,0.6745653296434925,0.702292496035271,0.7002231587876904,0.7309649416788117,-0.04123018461637636,-0.013580501730508903,True,0.40419512877831554,0.4460905027082317,0.4365164914820179,0.47994634035958045,-0.05481509974922968,-0.011215142551593985,True
climate_change,attit,0.10777554634816999,0.6877190161075,0.42422035247138,0.03752031854218249,-0.01086714601956107,0.0021788257591151194,0.09218624302535529,0.12365509271224756,0.12917362856426398,0.1608199068752956,0.020534786531138514,0.05366039851318188,True,0.6733448746922408,0.7018577553584838,0.682796955856711,0.7145873613329401,-0.023593270292223856,0.0024243707091715226,False,0.4030680848541139,0.44605367002853946,0.4008841102391063,0.4430064963647963,-0.017175773900266315,0.02126934419544448,False
climate_change,attit+moral,0.10859352677484906,0.6876045423431487,0.4244581427715282,0.02275956877618995,-0.03316370831400195,-0.03790302419866776,0.09369068688952441,0.1249129885116287,0.11470459522904805,0.1475345118790639,0.006656915402887389,0.039701905367951304,True,0.6720453243092132,0.7026632042823449,0.7049207869549695,0.7351566071111999,-0.04660243676742407,-0.01913341649621446,True,0.4032549966204344,0.4455780983637469,0.44226157052569,0.4821077655737261,-0.05872034584680538,-0.014782563797864343,True
