topic,group,mean_js_llm,mean_f1_llm,mean_cramer_llm,mean_js_diff,mean_f1_diff,mean_cramer_diff,llm_js_lower,llm_js_upper,baseline_js_lower,baseline_js_upper,diff_js_lower,diff_js_upper,diff_sig_js,llm_f1_score_lower,llm_f1_score_upper,baseline_f1_score_lower,baseline_f1_score_upper,diff_f1_score_lower,diff_f1_score_upper,diff_sig_f1_score,llm_cramer_v_lower,llm_cramer_v_upper,baseline_cramer_v_lower,baseline_cramer_v_upper,diff_cramer_v_lower,diff_cramer_v_upper,diff_sig_cramer_v
drug_addiction,demo+attit+moral,0.21784232182201904,0.6164028870774947,0.08733208655645791,-0.014727360706528476,0.05994098389959864,-0.021168590705121032,0.20074086330438207,0.23376518169213958,0.18551729362885738,0.2205671650382534,-0.04075268958238216,0.014610556620367048,False,0.5975515033221885,0.6341376395246971,0.5393095828736331,0.5723696294743035,0.04447781392466012,0.07396969356007656,True,0.061240893523921695,0.11555760988834142,0.08343685687593085,0.1326792220475572,-0.04940203883614457,0.007780679854045816,False
drug_addiction,attit,0.11757627070068813,0.6016986223109854,0.10240276567680535,0.08566943777259678,0.044941807021769066,-0.006216353348631887,0.09979073820984716,0.13520175353693475,0.18671772615151702,0.21915519958484453,0.058591795299462776,0.10931778812443317,True,0.5849479330918557,0.6184952302438026,0.5390070335659016,0.5723335136719612,0.03109584619327384,0.059639409477895124,True,0.0762440379330963,0.1313134870298229,0.0849914905140862,0.13011670363859304,-0.03519886156734808,0.022835766394650004,False
drug_addiction,attit+moral,0.19300983085898363,0.6149320186967775,0.09220712809908187,0.009720762254466404,0.058461220190887286,-0.01585978954019281,0.17452110603472828,0.20952828624640338,0.18568435368988614,0.21997689164224102,-0.017512127899315704,0.039414102337544867,False,0.5972097238818894,0.6339365575586776,0.5402232971936665,0.572759457938593,0.0428369956290659,0.07261109981811599,True,0.06647486303981831,0.1206358581729636,0.08545095647916166,0.12953804420083087,-0.04521185896155803,0.012960119781015165,False
drug_addiction,demo+moral,0.3922074125877295,0.5817324330695418,0.04979930128675373,-0.18907631712678968,0.02546334770671583,-0.058036130616176025,0.3785000370594531,0.40609075265093997,0.18583313794510795,0.2210755053248364,-0.21138520536568703,-0.16476874910008704,True,0.5629355812580734,0.600658266246743,0.5403647725305136,0.5727136127036927,0.008970115789967103,0.040480265158507084,True,0.023548808072894837,0.08082353010408559,0.08485046611553698,0.13273406553558761,-0.0922669793885358,-0.018887423150499637,True
drug_addiction,moral,0.2691336215187853,0.6184771590760295,0.1263423357191523,-0.06648905171060654,0.06237655457944321,0.01804223524417606,0.25351590917918465,0.28446918555159867,0.18445209690726308,0.2196967768587335,-0.09294160280643672,-0.03945892327545768,True,0.5992058853784619,0.6377028231133246,0.5403376270756558,0.571662270213848,0.046470472324481746,0.078727110038078,True,0.09250737484623771,0.16148014601203425,0.08594997850049539,0.12988693419375894,-0.020523674182773576,0.054490954890109904,False
climate_change,demo,0.4935992298154106,0.41791054069058975,0.042265163144949325,-0.27930815305853457,-0.1708047002153615,-0.3727541266528873,0.48009024295300845,0.5061456985510373,0.2007011949474314,0.22768312619073838,-0.3010501448327464,-0.2568101207433567,True,0.40016569685485487,0.43595441815959296,0.5728042783801441,0.6041093027765917,-0.19460048814519132,-0.14712305575510756,True,0.021904936116677706,0.06836168381109624,0.39444197606607584,0.4360877465164401,-0.40259979625625686,-0.3411750300572634,True
climate_change,demo+attit,0.2017839211253145,0.6413604928192016,0.39385525340236033,0.01252033141379676,0.052526406852200024,-0.02107595327152748,0.1871763847468063,0.21724307007806148,0.2005000565670092,0.2282353379181462,-0.0012471502499139106,0.026513535415396004,False,0.6268453623990399,0.657753601597907,0.5738720190857519,0.6033282562376767,0.03884917365071998,0.0668546511821004,True,0.3727151085831241,0.4166885889351643,0.39330988409913076,0.4375623243625663,-0.042448179979126706,0.0009596196417970368,False
climate_change,demo+attit+moral,0.1555694850880243,0.6709927334945769,0.4131797293711915,0.05884733743187328,0.08211309498906724,-0.002008551463136934,0.1388981470515149,0.1719193453952085,0.20018550027999732,0.22811792426115574,0.04178853473376961,0.07566821934600587,True,0.6563267237376493,0.6852657928372734,0.5733887131661046,0.6040574833005771,0.06679730918154907,0.0968913328635202,True,0.389212916751464,0.4379403324151522,0.3931167360144769,0.43611751951303873,-0.02508464159394929,0.02308026740825001,False
climate_change,attit,0.18654910850082435,0.6707328126905324,0.4196416647613441,0.027984816504864212,0.08211875963653645,0.004306963763547874,0.1717208964538248,0.20198455840973567,0.2007148938367812,0.22893113406169716,0.013143878983093656,0.042855767133377964,True,0.6557861668242388,0.684526289218093,0.5715760801944423,0.60417644132707,0.06711586337264014,0.09673173549985256,True,0.39784774354449165,0.44009624758089777,0.395032383188266,0.43596958964990423,-0.017506537884520477,0.026614926158433704,False
climate_change,attit+moral,0.1457475220639012,0.6959180660720095,0.44139544463499203,0.06843326955402994,0.10720667830832664,0.026737767845286888,0.13100367748357292,0.16087374667214435,0.2001632620233344,0.22775085404035714,0.050500967589907735,0.08476610488021627,True,0.6811211595567974,0.7085322276319692,0.5736211447978706,0.603769172261747,0.09154629357474445,0.12201897179159894,True,0.4196652927330562,0.4614713887842669,0.3929723966792765,0.4353755164278912,0.005727859114732044,0.0473269656954558,True
climate_change,demo+moral,0.3435367494381771,0.514520315630409,0.2425952283512239,-0.1295437388503182,-0.0745235791003576,-0.1721819952264826,0.3305527574472052,0.3567765552307504,0.20043351374346052,0.22780952341741817,-0.15315674269848215,-0.10732163685813342,True,0.49764051879978805,0.534031159961684,0.5727922323385578,0.604664122393372,-0.09674982802893503,-0.049212881034516265,True,0.20969366727623712,0.27256408306886365,0.3920834883645874,0.4365221531227272,-0.20684985007204085,-0.1360276528386703,True
climate_change,moral,0.25555270021327237,0.595212608883004,0.36649626990048884,-0.04119536656214774,0.006400515241792613,-0.04855595081889186,0.24372092733608983,0.26643668024914485,0.201615415406607,0.2280726353942214,-0.05990437927838688,-0.02060443030917907,True,0.579108530190815,0.6117312626638197,0.5745161218349845,0.6037015913037289,-0.014871173322880068,0.02855474395756646,False,0.33839414023787073,0.3953618101229789,0.39370143803195223,0.43530685527070073,-0.08193171487948409,-0.013905914258805819,True
