topic,group,mean_js_llm,mean_f1_llm,mean_cramer_llm,mean_js_diff,mean_f1_diff,mean_cramer_diff,llm_js_lower,llm_js_upper,baseline_js_lower,baseline_js_upper,diff_js_lower,diff_js_upper,diff_sig_js,llm_f1_score_lower,llm_f1_score_upper,baseline_f1_score_lower,baseline_f1_score_upper,diff_f1_score_lower,diff_f1_score_upper,diff_sig_f1_score,llm_cramer_v_lower,llm_cramer_v_upper,baseline_cramer_v_lower,baseline_cramer_v_upper,diff_cramer_v_lower,diff_cramer_v_upper,diff_sig_cramer_v
current_economy,moral,0.2661765316312677,0.45297034529640523,0.2619306224158309,-0.18085763742774194,-0.06396123184544056,-0.02743923755076398,0.24893863487613105,0.28453052366966836,0.07083334346776687,0.10060503207226545,-0.20442126424647047,-0.15500457055076866,True,0.43794699855175967,0.46803772773932634,0.49951694951568343,0.5331844467674652,-0.08193809150030519,-0.046350717421718216,True,0.24267979683664354,0.2824740044166458,0.26679621097394046,0.31035074645709754,-0.051368597509222735,-0.004735685718885016,True
drug_addiction,demo,0.4054565058200236,0.5792146840004672,0.06877876890061678,-0.20253760137848265,0.023089807920422104,-0.0399828826656715,0.39399473975864474,0.417331987270529,0.18559682698237343,0.22026048339344204,-0.22366778098919068,-0.18045962866318888,True,0.5599800195321978,0.5973994439661616,0.5401787924489593,0.5723220179312314,0.006106109658622059,0.03907657772388504,True,0.046266333203216416,0.1006743663381143,0.08639274372039135,0.13273308475945064,-0.07463145005849392,-0.0021987522792364083,True
drug_addiction,demo+attit,0.06894232353407105,0.6041573780166082,0.11150691020236962,0.13420854283842928,0.04720987398290555,0.0028870768733765366,0.05166731026880635,0.08703030879329882,0.18577608694853273,0.21975879152643196,0.10536409514118394,0.16164883258637097,True,0.5875572932156875,0.619753816121418,0.5397992898993924,0.5736658517065836,0.03580547855438425,0.058709959146831255,True,0.08943143508514294,0.134246175933451,0.08573064468582674,0.13251560510892899,-0.01688459310269546,0.020922751512209598,False
drug_addiction,demo+attit+moral,0.15761048223006827,0.6204304281942935,0.1351439088249117,0.04534466330471771,0.06382005558839181,0.026824414017682593,0.14554795159598077,0.1693326706959897,0.18500256341402452,0.22011220433234763,0.0190385783744984,0.07250794473973735,True,0.6041725312897482,0.6361878077804468,0.5399099617108427,0.5725734057464302,0.05123837931033946,0.07661816440612793,True,0.10003721276955113,0.17005479926386907,0.085501791320623,0.13177844681323678,-0.0009929352827687218,0.054715329512816525,False
drug_addiction,attit,0.14137089349035148,0.604865380980409,0.11075835724167965,0.06185526658060293,0.04849899572217554,0.002549284351529187,0.12278466156510898,0.15755400738275557,0.18674097092679676,0.22032932448472092,0.034535074771482946,0.08958100793207106,True,0.5895194598630031,0.6203489071806391,0.5402600778164109,0.5713307797505415,0.03822825753185458,0.05919182313481122,True,0.08658501113524412,0.14041521248533256,0.08524722226590521,0.1309934696626533,-0.019329376270927883,0.026429866914033852,False
drug_addiction,attit+moral,0.11544757324632772,0.603653277305919,0.12750001063166055,0.08697512534826225,0.047115370507875336,0.018974954576825718,0.09818508529715159,0.1326952705489499,0.1855909735905876,0.22025977754014708,0.058832822811476455,0.11712221397191531,True,0.5891148808392943,0.6179600219031065,0.5399335322274433,0.5717524360836674,0.03555314697398086,0.058949225283281746,True,0.10474359982586695,0.14957005815188765,0.08717589884997956,0.13137248167939947,-0.0029204826103980236,0.03901129821361279,False
drug_addiction,demo+moral,0.2075144015720624,0.633330215360414,0.1560311911889928,-0.0039935930507673315,0.07672375277712934,0.04774062797491921,0.1941976587264473,0.22078220803563028,0.18656749785657048,0.22083009425347602,-0.028380752916645526,0.023068521550451457,False,0.6171273409536547,0.6503258906920707,0.5405325082161345,0.5728017353726105,0.06069875469638932,0.09251670640015863,True,0.12208484172178623,0.18942805975420468,0.08625005319033052,0.13044041910573187,0.011158521475703882,0.08435445484747722,True
drug_addiction,moral,0.19348788942962347,0.615505812873985,0.11051494393269051,0.010098439133379494,0.059032359989229545,0.0022679324511078788,0.17664414578192966,0.21063362783173206,0.18613950845072297,0.22074584768696967,-0.011182822786450507,0.03290096167489214,False,0.5986626290302992,0.6318107398235451,0.5407479567858126,0.5726410387299788,0.04462658609312226,0.07295653177832816,True,0.0853204460958701,0.13413873222333433,0.08624229365562161,0.1328360274456068,-0.0265199592430581,0.03270404223311634,False
climate_change,demo,0.34224229181816684,0.4711506946039157,0.07125879273339479,-0.12778476551723367,-0.11773689893549358,-0.3444423730115551,0.32789867787004723,0.3566864376150665,0.20191586051385393,0.2288406544632389,-0.15109928187624733,-0.10322563444452482,True,0.4528664622718374,0.48928246667836545,0.573516369656475,0.6032416914901496,-0.14081410123665133,-0.0945582524606967,True,0.043512811693167654,0.09952196979506668,0.39442196515801714,0.43669631434647876,-0.3793016999097926,-0.30913800124790136,True
climate_change,demo+attit,0.08621033131594845,0.6937751451368633,0.4247848967459647,0.12790981391275055,0.10438038140916146,0.009162724738879302,0.06940102008940466,0.10252024853633673,0.1996716085449744,0.22721525768188033,0.1101340367379519,0.1456643634049918,True,0.6786929180418284,0.7083971422120368,0.5744998841718801,0.6050510602972123,0.08813067342236446,0.12050870557847795,True,0.4042009432697619,0.44680496793381713,0.3939616283636924,0.43814694323114123,-0.010799393287484233,0.03003633836784367,False
climate_change,demo+attit+moral,0.10865438134019234,0.6884567532687065,0.4252851634356556,0.10578964372428723,0.09965343025319533,0.00990798864538149,0.09318245207637299,0.12430329891761539,0.20138484616954996,0.22888068607314188,0.08967035944205645,0.12160773051298387,True,0.6732613700017599,0.7035262166369292,0.5728819259165602,0.6046542480799959,0.08316793655455336,0.11552525016441782,True,0.40396776733890183,0.44669921629623055,0.3949487751019398,0.43525443649823253,-0.011057933956366003,0.03210131741521979,False
climate_change,attit,0.10697175382449739,0.688030386628239,0.4245257800188598,0.10719597722556162,0.09926522286995493,0.00971106933436616,0.09068329284921323,0.12259333957925168,0.19991207344943057,0.22704698630348913,0.0904500497225757,0.12190067582352432,True,0.6740133245575894,0.7030795623514356,0.572951494175464,0.6032267582365921,0.08431206455000732,0.11417290164142258,True,0.4030704254881573,0.4461540740554101,0.393192951785652,0.43572674485388296,-0.011951828058078384,0.030685426500872966,False
